phase mean FPC1 FPC2 FPC3 FPC4
8.7 0.415635 0.100261 0.192565 0.012345 0.19967
8.8 0.423569 0.101644 0.194322 0.011772 0.19968
8.9 0.431731 0.103027 0.196079 0.011199 0.19969
9 0.439893 0.104408 0.197825 0.010626 0.199674
9.1 0.448055 0.105763 0.199366 0.01004 0.199165
9.2 0.456217 0.107118 0.200907 0.009454 0.198656
9.3 0.464378 0.108471 0.202441 0.008868 0.198128
9.4 0.472556 0.109798 0.203767 0.008269 0.1971
9.5 0.480978 0.111125 0.205093 0.007671 0.196072
9.6 0.4894 0.112451 0.206415 0.007072 0.195034
9.7 0.497821 0.11375 0.207526 0.00646 0.193486
9.8 0.506243 0.115049 0.208636 0.005849 0.191939
9.9 0.514665 0.116347 0.209746 0.005237 0.19039
10 0.523087 0.117616 0.210659 0.004586 0.188425
10.1 0.531789 0.118885 0.211572 0.003935 0.18646
10.2 0.540491 0.120153 0.212486 0.003283 0.184495
10.3 0.549194 0.121385 0.213259 0.002509 0.182431
10.4 0.557896 0.122616 0.214031 0.001733 0.180366
10.5 0.566598 0.123847 0.214803 0.000958 0.178301
10.6 0.5753 0.125041 0.215441 5.4e-05 0.176165
10.7 0.584285 0.126234 0.216077 -0.000853 0.174027
10.8 0.593288 0.127428 0.216712 -0.00176 0.171889
10.9 0.602291 0.128584 0.217216 -0.002793 0.169681
11 0.611295 0.129739 0.217715 -0.003831 0.16747
11.1 0.620298 0.130895 0.218214 -0.004869 0.165259
11.2 0.629301 0.132014 0.218584 -0.006032 0.16298
11.3 0.638568 0.133131 0.218946 -0.007202 0.160696
11.4 0.647872 0.134248 0.219308 -0.008371 0.158412
11.5 0.657176 0.13533 0.219543 -0.009663 0.15606
11.6 0.66648 0.136409 0.219769 -0.010964 0.153703
11.7 0.675784 0.137489 0.219995 -0.012265 0.151346
11.8 0.685087 0.138533 0.220095 -0.013687 0.148923
11.9 0.694637 0.139574 0.220185 -0.015119 0.146493
12 0.704242 0.140615 0.220274 -0.016552 0.144063
12.1 0.713847 0.141623 0.22024 -0.018103 0.141567
12.2 0.723451 0.142626 0.220192 -0.019666 0.139064
12.3 0.733056 0.143629 0.220145 -0.02123 0.136561
12.4 0.74266 0.144599 0.219977 -0.02291 0.133994
12.5 0.752493 0.145564 0.219793 -0.024606 0.131418
