phase mean FPC1 FPC2 FPC3 FPC4
4.6 0.103441 0.001507 0.009536 0.019643 0.053459
4.7 0.107198 0.001686 0.009941 0.019952 0.055077
4.8 0.110955 0.001873 0.010353 0.020246 0.056717
4.9 0.114712 0.002082 0.01079 0.020501 0.058419
5 0.118469 0.002291 0.011227 0.020756 0.060122
5.1 0.122226 0.002508 0.011672 0.020997 0.061845
5.2 0.126119 0.002747 0.012141 0.021198 0.063633
5.3 0.130157 0.002986 0.012611 0.021399 0.065421
5.4 0.134195 0.003232 0.013088 0.021587 0.067228
5.5 0.138233 0.003502 0.01359 0.021733 0.069101
5.6 0.142271 0.003771 0.014091 0.02188 0.070974
5.7 0.146308 0.004046 0.0146 0.022015 0.072865
5.8 0.150447 0.004345 0.015135 0.022107 0.074823
5.9 0.154723 0.004644 0.015669 0.0222 0.076781
6 0.158999 0.004948 0.016223 0.022299 0.078766
6.1 0.163275 0.00527 0.016852 0.022427 0.080857
6.2 0.167551 0.005593 0.017481 0.022555 0.082947
6.3 0.171827 0.005918 0.018142 0.022711 0.085074
6.4 0.176125 0.006255 0.018945 0.02299 0.08736
6.5 0.180464 0.006591 0.019749 0.023268 0.089645
6.6 0.184803 0.006931 0.020582 0.023573 0.091964
6.7 0.189142 0.007282 0.02156 0.024003 0.094444
6.8 0.19348 0.007633 0.022539 0.024432 0.096924
6.9 0.197819 0.007987 0.023544 0.024886 0.099434
7 0.202171 0.008353 0.024697 0.025467 0.102109
7.1 0.206554 0.008718 0.02585 0.026048 0.104784
7.2 0.210936 0.009086 0.027028 0.02665 0.107486
7.3 0.215319 0.009467 0.028356 0.027382 0.110356
7.4 0.219701 0.009847 0.029684 0.028114 0.113226
7.5 0.224084 0.010229 0.031034 0.028865 0.11612
7.6 0.228477 0.010624 0.032537 0.029749 0.119184
7.7 0.232903 0.011018 0.03404 0.030632 0.122249
7.8 0.237329 0.011415 0.035562 0.031532 0.125335
7.9 0.241755 0.011824 0.03724 0.032567 0.128594
8 0.246181 0.012233 0.038918 0.033601 0.131853
8.1 0.250607 0.012644 0.040612 0.03465 0.135131
8.2 0.255041 0.013068 0.042465 0.035836 0.138585
8.3 0.259511 0.013491 0.044317 0.037022 0.142039
8.4 0.263981 0.013916 0.046184 0.03822 0.145508
8.5 0.268451 0.014354 0.048211 0.039557 0.149157
8.6 0.272921 0.014793 0.050239 0.040894 0.152806
8.7 0.27739 0.015232 0.052278 0.04224 0.156467
8.8 0.281865 0.015684 0.05448 0.043729 0.160311
8.9 0.286379 0.016137 0.056682 0.045217 0.164154
9 0.290892 0.016591 0.058893 0.046712 0.168008
9.1 0.295406 0.017058 0.06127 0.048352 0.172046
9.2 0.299919 0.017525 0.063648 0.049991 0.176084
9.3 0.304433 0.017993 0.066031 0.051636 0.180129
9.4 0.308949 0.018474 0.068583 0.053426 0.184362
9.5 0.313506 0.018956 0.071135 0.055217 0.188596
9.6 0.318063 0.019438 0.07369 0.057011 0.192832
9.7 0.32262 0.019934 0.076417 0.058952 0.19726
9.8 0.327178 0.02043 0.079144 0.060894 0.201688
9.9 0.331735 0.020926 0.081872 0.062836 0.206116
10 0.336292 0.02143 0.084751 0.064809 0.210558
10.1 0.34073 0.021933 0.087631 0.066782 0.215001
10.2 0.345168 0.022436 0.090511 0.068755 0.219443
10.3 0.349606 0.022925 0.093472 0.070386 0.223338
10.4 0.354044 0.023413 0.096435 0.072013 0.227227
10.5 0.358482 0.023901 0.099398 0.073641 0.231117
10.6 0.36292 0.024372 0.102436 0.0749 0.234421
10.7 0.367093 0.024843 0.105475 0.07615 0.23771
10.8 0.37125 0.025314 0.108515 0.0774 0.240999
10.9 0.375406 0.025768 0.111629 0.078287 0.243711
11 0.379562 0.026221 0.114746 0.079159 0.2464
11.1 0.383718 0.026675 0.117863 0.080032 0.249088
11.2 0.387875 0.027112 0.121053 0.080547 0.25121
11.3 0.391783 0.027548 0.124248 0.081042 0.253298
11.4 0.395658 0.027984 0.127442 0.081537 0.255386
11.5 0.399532 0.028405 0.130708 0.081681 0.256915
11.6 0.403407 0.028824 0.133979 0.081798 0.258403
11.7 0.407281 0.029243 0.137251 0.081916 0.25989
11.8 0.411156 0.029646 0.140593 0.081688 0.260829
11.9 0.4148 0.030047 0.143941 0.081428 0.261716
12 0.418393 0.030449 0.14729 0.081167 0.262603
12.1 0.421986 0.030835 0.150708 0.080568 0.26295
12.2 0.425578 0.03122 0.154134 0.07993 0.263236
12.3 0.429171 0.031604 0.15756 0.079292 0.263523
12.4 0.432764 0.031973 0.161054 0.078321 0.263278
12.5 0.436143 0.03234 0.164557 0.077306 0.262964
12.6 0.439454 0.032708 0.16806 0.076291 0.26265
12.7 0.442765 0.03306 0.17163 0.074947 0.261814
