phase mean FPC1 FPC2 FPC3 FPC4
14.9 0.646278 0.071366 0.154862 -0.203884 0.156501
15 0.648459 0.072131 0.155518 -0.206858 0.153015
15.1 0.650639 0.072923 0.156052 -0.209683 0.149294
15.2 0.652819 0.073724 0.156544 -0.212458 0.145493
15.3 0.654999 0.074525 0.157037 -0.215234 0.141692
15.4 0.657179 0.075353 0.157409 -0.217863 0.137661
15.5 0.659259 0.076191 0.157739 -0.22044 0.133546
15.6 0.66122 0.077029 0.158068 -0.223016 0.12943
15.7 0.66318 0.077893 0.15828 -0.22545 0.125089
15.8 0.665141 0.078767 0.158447 -0.227828 0.120659
15.9 0.667102 0.079641 0.158613 -0.230206 0.116229
16 0.669063 0.080541 0.158664 -0.232444 0.111577
16.1 0.670937 0.081451 0.158667 -0.234623 0.106833
16.2 0.672679 0.082362 0.15867 -0.236802 0.102088
16.3 0.67442 0.083297 0.158561 -0.238845 0.097126
16.4 0.676162 0.084244 0.158401 -0.240825 0.092067
16.5 0.677903 0.085191 0.158241 -0.242806 0.087008
16.6 0.679645 0.086163 0.157971 -0.244653 0.081736
16.7 0.681313 0.087146 0.157648 -0.246434 0.076362
16.8 0.682836 0.08813 0.157324 -0.248216 0.070988
16.9 0.684358 0.089137 0.156894 -0.249867 0.065407
17 0.68588 0.090157 0.156407 -0.25145 0.059718
17.1 0.687402 0.091177 0.155921 -0.253033 0.054029
17.2 0.688924 0.09222 0.15533 -0.254489 0.048138
17.3 0.690386 0.093277 0.15468 -0.255873 0.042135
17.4 0.691689 0.094333 0.15403 -0.257258 0.036131
17.5 0.692992 0.095412 0.153278 -0.258517 0.02993
17.6 0.694295 0.096505 0.152466 -0.259703 0.023612
17.7 0.695598 0.097598 0.151653 -0.260889 0.017294
17.8 0.696901 0.098712 0.150741 -0.261951 0.010787
17.9 0.698188 0.099841 0.149766 -0.262936 0.004161
18 0.699415 0.100969 0.148792 -0.263922 -0.002465
18.1 0.700643 0.102098 0.147765 -0.264724 -0.009057
18.2 0.70187 0.103227 0.146702 -0.265404 -0.015625
18.3 0.703098 0.104355 0.14564 -0.266084 -0.022193
18.4 0.704325 0.105471 0.144553 -0.266548 -0.028595
18.5 0.705586 0.106577 0.143448 -0.266859 -0.034878
18.6 0.707033 0.107684 0.142344 -0.267169 -0.041161
18.7 0.70848 0.108778 0.141215 -0.267269 -0.047283
18.8 0.709927 0.109862 0.140068 -0.267209 -0.053281
18.9 0.711374 0.110946 0.138921 -0.267149 -0.05928
19 0.712821 0.112018 0.137751 -0.266885 -0.065121
19.1 0.714289 0.113081 0.136562 -0.266456 -0.070834
19.2 0.715965 0.114143 0.135373 -0.266026 -0.076548
19.3 0.71764 0.115193 0.134162 -0.265398 -0.082109
19.4 0.719316 0.116233 0.132931 -0.264598 -0.087537
19.5 0.720992 0.117274 0.131699 -0.263799 -0.092966
19.6 0.722668 0.118302 0.130446 -0.262806 -0.098246
19.7 0.72435 0.11932 0.129173 -0.261637 -0.10339
19.8 0.726255 0.120338 0.1279 -0.260468 -0.108535
19.9 0.72816 0.121345 0.126605 -0.259111 -0.113534
20 0.730064 0.122341 0.125289 -0.257572 -0.118393
20.1 0.731969 0.123337 0.123974 -0.256032 -0.123253
20.2 0.733873 0.124322 0.122638 -0.254311 -0.127971
20.3 0.735778 0.125296 0.12128 -0.252402 -0.132546
20.4 0.737904 0.126269 0.119922 -0.250493 -0.13712
20.5 0.740038 0.127233 0.118544 -0.248407 -0.141558
20.6 0.742171 0.128184 0.117145 -0.246128 -0.145848
20.7 0.744305 0.129136 0.115745 -0.243849 -0.150138
20.8 0.746438 0.130077 0.114325 -0.241399 -0.154295
20.9 0.748571 0.131007 0.112883 -0.23875 -0.1583
21 0.750913 0.131936 0.111441 -0.236101 -0.162305
21.1 0.753275 0.132856 0.10998 -0.233287 -0.166182
21.2 0.755637 0.133764 0.108496 -0.230268 -0.169902
21.3 0.757999 0.134671 0.107012 -0.227249 -0.173622
21.4 0.760361 0.135569 0.10551 -0.224071 -0.177219
21.5 0.762724 0.136454 0.103983 -0.220682 -0.180654
21.6 0.76528 0.13734 0.102457 -0.217294 -0.18409
21.7 0.767872 0.138216 0.100913 -0.213751 -0.187406
21.8 0.770464 0.139079 0.099344 -0.209992 -0.190556
21.9 0.773055 0.139942 0.097776 -0.206234 -0.193707
22 0.775647 0.140797 0.096194 -0.202371 -0.196744
22.1 0.778239 0.141638 0.094593 -0.198352 -0.199613
22.2 0.781028 0.142479 0.092992 -0.194334 -0.202482
22.3 0.783871 0.143311 0.091384 -0.190283 -0.205244
22.4 0.786714 0.14413 0.089765 -0.186181 -0.207837
22.5 0.789557 0.144949 0.088146 -0.182079 -0.210429
22.6 0.7924 0.14576 0.086521 -0.177948 -0.21292
22.7 0.795243 0.146557 0.084885 -0.173766 -0.215236
22.8 0.798276 0.147354 0.08325 -0.169584 -0.217553
22.9 0.801381 0.148143 0.081608 -0.165374 -0.219771
23 0.804485 0.148918 0.079955 -0.161112 -0.221812
23.1 0.80759 0.149693 0.078301 -0.15685 -0.223852
23.2 0.810695 0.15046 0.076643 -0.152561 -0.225799
23.3 0.8138 0.151213 0.074972 -0.148219 -0.227563
23.4 0.817079 0.151966 0.073302 -0.143877 -0.229328
23.5 0.820446 0.152711 0.071626 -0.139509 -0.231002
23.6 0.823813 0.153442 0.069939 -0.135088 -0.23249
23.7 0.827179 0.154173 0.068252 -0.130666 -0.233979
23.8 0.830546 0.154896 0.066559 -0.126219 -0.235381
23.9 0.833913 0.155605 0.064855 -0.121718 -0.236594
24 0.837438 0.156314 0.06315 -0.117216 -0.237806
24.1 0.841067 0.157016 0.06144 -0.112691 -0.238937
24.2 0.844696 0.157702 0.059719 -0.108109 -0.239873
24.3 0.848324 0.158389 0.057997 -0.103527 -0.240809
24.4 0.851953 0.159069 0.05627 -0.098923 -0.241668
24.5 0.855582 0.159733 0.054532 -0.094261 -0.242328
24.6 0.859353 0.160398 0.052793 -0.0896 -0.242988
24.7 0.863243 0.161056 0.051049 -0.084917 -0.243575
24.8 0.867134 0.161699 0.049293 -0.080175 -0.243959
24.9 0.871024 0.162341 0.047537 -0.075434 -0.244344
25 0.874915 0.162978 0.045777 -0.070672 -0.244658
25.1 0.878805 0.163598 0.044004 -0.06585 -0.244766
25.2 0.882823 0.164218 0.042231 -0.061029 -0.244875
