phase mean FPC1 FPC2 FPC3 FPC4
6.8 0.263764 -0.023027 -0.100623 0.018916 0.162897
6.9 0.270139 -0.023682 -0.10284 0.018405 0.167633
7 0.276515 -0.024343 -0.10506 0.017838 0.17241
7.1 0.28289 -0.025006 -0.10728 0.017247 0.177205
7.2 0.289321 -0.025687 -0.109507 0.016514 0.182103
7.3 0.295896 -0.026367 -0.111733 0.015781 0.187
7.4 0.30247 -0.02706 -0.113964 0.014944 0.191974
7.5 0.309044 -0.02776 -0.116198 0.014046 0.196993
7.6 0.315619 -0.028463 -0.118433 0.013128 0.202026
7.7 0.322231 -0.029182 -0.120674 0.012065 0.207164
7.8 0.328969 -0.029902 -0.122914 0.011002 0.212303
7.9 0.335707 -0.030627 -0.125158 0.00993 0.217343
8 0.342445 -0.031357 -0.127403 0.008853 0.222319
8.1 0.349184 -0.032087 -0.129648 0.007793 0.227246
8.2 0.355929 -0.032815 -0.131894 0.006896 0.231698
8.3 0.362708 -0.033543 -0.134139 0.005998 0.23615
8.4 0.369486 -0.03427 -0.136384 0.005207 0.240294
8.5 0.376265 -0.034997 -0.13863 0.004491 0.244217
8.6 0.383043 -0.035723 -0.140876 0.003788 0.248104
8.7 0.389826 -0.036448 -0.143121 0.003255 0.251498
8.8 0.396634 -0.037173 -0.145367 0.002722 0.254892
8.9 0.403442 -0.037896 -0.147613 0.00229 0.257992
9 0.41025 -0.03862 -0.149859 0.001939 0.260857
9.1 0.417057 -0.039343 -0.152105 0.001595 0.263699
9.2 0.423868 -0.040064 -0.154352 0.001426 0.266036
9.3 0.430705 -0.040785 -0.156598 0.001257 0.268372
9.4 0.437543 -0.041506 -0.158844 0.001185 0.270427
9.5 0.44438 -0.042226 -0.161091 0.001198 0.272235
9.6 0.451218 -0.042945 -0.163337 0.001214 0.274032
9.7 0.458056 -0.043663 -0.165584 0.001409 0.275311
9.8 0.464923 -0.044381 -0.16783 0.001604 0.27659
9.9 0.47179 -0.045098 -0.170077 0.001891 0.2776
10 0.478657 -0.045815 -0.172324 0.002269 0.27835
10.1 0.485523 -0.046531 -0.174571 0.002646 0.2791
10.2 0.49239 -0.047246 -0.176818 0.003204 0.279324
10.3 0.499286 -0.04796 -0.179065 0.003763 0.279545
10.4 0.506182 -0.048674 -0.181313 0.00441 0.279511
10.5 0.513079 -0.049387 -0.18356 0.005151 0.279203
10.6 0.519975 -0.0501 -0.185807 0.005892 0.278895
10.7 0.526871 -0.050811 -0.188055 0.00681 0.278074
10.8 0.533795 -0.051522 -0.190302 0.007733 0.277237
10.9 0.540721 -0.052233 -0.19255 0.00874 0.276159
11 0.547647 -0.052942 -0.194798 0.009845 0.274793
11.1 0.554572 -0.053652 -0.197046 0.010951 0.273428
11.2 0.561498 -0.05436 -0.199294 0.012228 0.271562
11.3 0.568389 -0.055068 -0.201542 0.013515 0.269668
11.4 0.575274 -0.055779 -0.203775 0.014866 0.267571
11.5 0.58216 -0.056496 -0.205987 0.0163 0.265208
11.6 0.589046 -0.057213 -0.2082 0.017734 0.262845
11.7 0.595932 -0.057964 -0.210292 0.019213 0.260199
11.8 0.602523 -0.058718 -0.212374 0.020697 0.25753
11.9 0.609052 -0.059488 -0.214401 0.022199 0.254739
12 0.615582 -0.060281 -0.216345 0.023727 0.251773
12.1 0.622112 -0.061074 -0.21829 0.025254 0.248807
12.2 0.628642 -0.061902 -0.220113 0.026821 0.245575
12.3 0.634864 -0.062734 -0.221921 0.028393 0.242313
12.4 0.640998 -0.063581 -0.223677 0.029981 0.238937
12.5 0.647132 -0.064453 -0.225348 0.031597 0.235379
12.6 0.653266 -0.065324 -0.227019 0.033212 0.23182
12.7 0.6594 -0.06623 -0.228571 0.034866 0.228003
12.8 0.665247 -0.06714 -0.230105 0.036525 0.224148
12.9 0.670986 -0.068065 -0.231591 0.0382 0.220188
13 0.676725 -0.069014 -0.232988 0.039904 0.216036
13.1 0.682464 -0.069964 -0.234385 0.041607 0.211885
13.2 0.688203 -0.070947 -0.235667 0.043347 0.207483
13.3 0.693674 -0.071935 -0.236927 0.045095 0.203036
13.4 0.699018 -0.072937 -0.238142 0.046856 0.19849
13.5 0.704362 -0.073965 -0.239265 0.048647 0.193746
13.6 0.709705 -0.074993 -0.240388 0.050438 0.189002
13.7 0.715049 -0.076053 -0.2414 0.052265 0.184015
13.8 0.720145 -0.07712 -0.242386 0.0541 0.178975
13.9 0.725093 -0.078199 -0.243331 0.055949 0.173844
14 0.730042 -0.079305 -0.24418 0.057828 0.168507
14.1 0.73499 -0.080411 -0.245029 0.059706 0.163171
14.2 0.739939 -0.081548 -0.24577 0.06162 0.157599
14.3 0.744659 -0.082694 -0.246483 0.063543 0.151966
14.4 0.749213 -0.08385 -0.247157 0.065478 0.14625
14.5 0.753766 -0.085034 -0.247732 0.067445 0.140321
14.6 0.758319 -0.086219 -0.248308 0.069411 0.134392
14.7 0.762872 -0.087433 -0.248778 0.071412 0.128235
14.8 0.767239 -0.088657 -0.249217 0.073422 0.122009
