phase mean FPC1 FPC2 FPC3 FPC4
14.3 0.613295 0.114078 0.174479 0.112136 0.154762
14.4 0.618328 0.114872 0.174814 0.113699 0.15519
14.5 0.623362 0.11565 0.175145 0.11515 0.155359
14.6 0.628396 0.116423 0.175475 0.116569 0.155454
14.7 0.633429 0.117197 0.175805 0.117988 0.15555
14.8 0.638463 0.117955 0.176131 0.119297 0.155392
14.9 0.643452 0.118709 0.176456 0.120572 0.155155
15 0.648399 0.119462 0.176782 0.121847 0.154919
15.1 0.653346 0.120201 0.177104 0.123014 0.154433
15.2 0.658293 0.120934 0.177424 0.124145 0.153864
15.3 0.66324 0.121667 0.177745 0.125275 0.153295
15.4 0.668187 0.122385 0.178063 0.1263 0.152483
15.5 0.673094 0.123098 0.178379 0.127287 0.151581
15.6 0.677955 0.123812 0.178695 0.128274 0.15068
15.7 0.682815 0.12451 0.179008 0.129157 0.14954
15.8 0.687675 0.125203 0.17932 0.129999 0.148306
15.9 0.692536 0.125896 0.179632 0.130842 0.147073
16 0.697396 0.126574 0.17994 0.131583 0.145605
16.1 0.702222 0.127247 0.180247 0.132282 0.144039
16.2 0.706996 0.127919 0.180555 0.13298 0.142474
16.3 0.71177 0.128578 0.180859 0.133579 0.140679
16.4 0.716544 0.12923 0.181161 0.134134 0.13878
16.5 0.721318 0.129883 0.181464 0.134688 0.136882
16.6 0.726092 0.130522 0.181763 0.135145 0.13476
16.7 0.730837 0.131154 0.182061 0.135556 0.13253
16.8 0.735524 0.131786 0.18236 0.135966 0.130299
16.9 0.740211 0.132405 0.182655 0.136281 0.12785
17 0.744898 0.133017 0.182948 0.136547 0.125287
17.1 0.749585 0.133629 0.183242 0.136813 0.122724
17.2 0.754273 0.134227 0.183532 0.136987 0.119947
17.3 0.758936 0.134819 0.183821 0.137109 0.117052
17.4 0.763537 0.135411 0.18411 0.137231 0.114156
17.5 0.768137 0.13599 0.184396 0.137262 0.111052
17.6 0.772738 0.136561 0.184681 0.13724 0.107825
17.7 0.777339 0.137133 0.184965 0.137218 0.104597
17.8 0.781939 0.137692 0.185245 0.137108 0.101168
17.9 0.786535 0.138243 0.185523 0.136942 0.097611
18 0.791114 0.138795 0.185801 0.136776 0.094054
18.1 0.795692 0.139338 0.185999 0.136536 0.090407
18.2 0.800271 0.139875 0.186144 0.136246 0.086699
18.3 0.80485 0.140412 0.186289 0.135956 0.082992
18.4 0.809428 0.140943 0.186312 0.135601 0.07926
18.5 0.814024 0.141469 0.186247 0.135199 0.075511
18.6 0.818713 0.141995 0.186181 0.134798 0.071763
18.7 0.823402 0.142516 0.185997 0.134332 0.067991
18.8 0.828091 0.143032 0.185722 0.133819 0.064201
18.9 0.83278 0.143547 0.185446 0.133306 0.060412
19 0.837469 0.144057 0.185055 0.13273 0.0566
19.1 0.842169 0.144562 0.184569 0.132105 0.052769
19.2 0.846973 0.145067 0.184083 0.13148 0.048939
19.3 0.851777 0.145566 0.183485 0.130795 0.045086
19.4 0.856581 0.146061 0.182789 0.130058 0.041215
19.5 0.861384 0.146555 0.182093 0.129321 0.037344
19.6 0.866188 0.147044 0.181287 0.128526 0.033451
19.7 0.870996 0.147527 0.180381 0.127677 0.029539
19.8 0.875914 0.148011 0.179475 0.126828 0.025627
19.9 0.880833 0.148489 0.178462 0.125923 0.021694
20 0.885751 0.148962 0.177346 0.124962 0.017741
20.1 0.89067 0.149435 0.17623 0.124002 0.013788
20.2 0.895588 0.149903 0.17501 0.122986 0.009815
20.3 0.900507 0.150365 0.173683 0.121914 0.005821
20.4 0.905537 0.150827 0.172356 0.120842 0.001827
20.5 0.91057 0.151285 0.170929 0.119716 -0.002187
20.6 0.915603 0.151736 0.169392 0.118532 -0.006222
20.7 0.920636 0.152188 0.167855 0.117348 -0.010257
20.8 0.92567 0.152634 0.166221 0.116113 -0.01431
20.9 0.930703 0.153075 0.164474 0.114817 -0.018386
21 0.93584 0.153516 0.162726 0.113521 -0.022462
21.1 0.940988 0.153952 0.160885 0.112175 -0.026556
21.2 0.946136 0.154382 0.158928 0.110768 -0.030672
21.3 0.951284 0.154813 0.15697 0.10936 -0.034789
21.4 0.956432 0.155238 0.154922 0.107904 -0.038923
21.5 0.96158 0.155658 0.152754 0.106385 -0.043081
21.6 0.966825 0.156077 0.150586 0.104866 -0.047238
21.7 0.972087 0.156492 0.148331 0.1033 -0.051413
21.8 0.977349 0.156901 0.145953 0.101669 -0.055611
21.9 0.98261 0.15731 0.143575 0.100038 -0.05981
22 0.987872 0.157714 0.141144 0.098389 -0.064006
22.1 0.993134 0.15811 0.138632 0.096716 -0.068198
22.2 0.998468 0.158507 0.13612 0.095042 -0.07239
22.3 1.003821 0.158897 0.133604 0.093395 -0.076551
22.4 1.009174 0.159278 0.131083 0.09179 -0.080662
22.5 1.014527 0.15966 0.128561 0.090185 -0.084773
22.6 1.019881 0.160035 0.126036 0.088607 -0.088853
22.7 1.025234 0.160401 0.123506 0.087073 -0.092881
22.8 1.030645 0.160767 0.120976 0.085539 -0.096908
22.9 1.036078 0.161128 0.118444 0.08403 -0.100907
23 1.041511 0.161479 0.115906 0.082567 -0.104851
23.1 1.046945 0.16183 0.113368 0.081104 -0.108796
23.2 1.052378 0.162175 0.110828 0.079665 -0.112713
23.3 1.057811 0.162511 0.108282 0.078273 -0.116574
23.4 1.063298 0.162846 0.105736 0.076881 -0.120436
23.5 1.068811 0.163177 0.103188 0.075512 -0.124271
23.6 1.074325 0.163497 0.100635 0.074191 -0.12805
23.7 1.079838 0.163818 0.098081 0.072869 -0.131828
23.8 1.085352 0.164133 0.095525 0.07157 -0.135581
23.9 1.090865 0.164438 0.092964 0.07032 -0.139277
24 1.096427 0.164744 0.090402 0.06907 -0.142973
24.1 1.10202 0.165044 0.087838 0.06784 -0.146644
24.2 1.107614 0.165334 0.085269 0.066661 -0.150257
